@relation 'stocks-weka.filters.unsupervised.attribute.Remove-R1-3,14-weka.filters.unsupervised.attribute.Remove-R9-10'

@attribute ‘open’ numeric
@attribute ‘high’ numeric
@attribute ‘low’ numeric
@attribute ‘close’ numeric
@attribute ‘volume’ numeric
@attribute ‘percent_change_price’ numeric
@attribute ‘percent_change_volume_over_last_wk’ numeric
@attribute ‘previous_weeks_volume’ numeric
@attribute ‘days_to_next_dividend’ numeric
@attribute ‘percent_return_next_dividend’ numeric
@attribute ‘result’ {gain,loss}

@data
15.82,16.72,15.78,16.42,239655616,3.79267,?,?,26,0.182704,loss
16.71,16.71,15.64,15.97,242963398,-4.42849,1.380223,239655616,19,0.187852,loss
16.19,16.38,15.6,15.79,138428495,-2.47066,-43.024959,242963398,12,0.189994,gain
15.87,16.63,15.82,16.13,151379173,1.63831,9.3555,138428495,5,0.185989,gain
16.18,17.39,16.18,17.14,154387761,5.93325,1.987452,151379173,97,0.175029,gain
17.33,17.48,16.97,17.37,114691279,0.230814,-25.712195,154387761,90,0.172712,loss
17.39,17.68,17.28,17.28,80023895,-0.632547,-30.226696,114691279,83,0.173611,loss
16.98,17.15,15.96,16.68,132981863,-1.76678,66.177694,80023895,76,0.179856,loss
16.81,16.94,16.13,16.58,109493077,-1.36823,-17.66315,132981863,69,0.180941,loss
16.58,16.75,15.42,16.03,114332562,-3.31725,4.4199,109493077,62,0.187149,gain
15.95,16.33,15.43,16.11,130374108,1.00313,14.030601,114332562,55,0.18622,gain
16.38,17.24,16.26,17.09,95550392,4.33455,-26.710607,130374108,48,0.175541,gain
43.3,45.6,43.11,44.36,45102042,2.44804,?,?,89,0.405771,gain
44.2,46.25,44.01,46.25,25913713,4.63801,-42.544258,45102042,82,0.389189,loss
46.03,46.71,44.71,46,38824728,-0.065175,49.823099,25913713,75,0.391304,loss
46.05,46.27,43.42,43.86,51427274,-4.7557,32.460101,38824728,68,0.410397,loss
44.13,44.23,43.15,43.82,39501680,-0.70247,-23.18924,51427274,61,0.410771,gain
43.96,46.79,43.88,46.75,43746998,6.34668,10.747183,39501680,54,0.385027,loss
46.42,46.93,45.53,45.53,28564910,-1.91728,-34.704297,43746998,47,0.395344,loss
44.94,45.12,43.01,43.53,39654146,-3.13752,38.821183,28564910,40,0.413508,loss
43.73,44.68,42.75,43.72,38985037,-0.022868,-1.687362,39654146,33,0.411711,gain
43.86,45.54,43.53,44.28,37613429,0.957592,-3.518293,38985037,26,0.406504,gain
43.86,44.47,42.19,44.17,41757526,0.706794,11.0176,37613429,19,0.407516,gain
44.75,45.61,44.1,45.59,30798332,1.87709,-26.244835,41757526,12,0.394823,loss
66.15,70.1,66,69.38,36258120,4.88284,?,?,33,0.605362,gain
69.42,70.5,68.35,70.07,18834664,0.93633,-48.053942,36258120,26,0.599401,gain
70.86,72.99,70.23,71.68,29594221,1.15721,57.126355,18834664,19,0.585938,loss
